NW1,NW2,NW3,NW4,NW5,NW6,NW7,NW8,NW9,NW10,NW11,NW12,NW13,NW14,NW15,NW16,NW17,NW18,NW19,NW20
NEFT,DR,CORP,REKHA,ARORA,NETBANK,,MUM,N,,Ref#,N,,,,,,,,
NWD,XXXXXX,,GURGAON,,Ref#,,,,,,,,,,,,,,
POS,XXXXXX,VIDYA,BISLA,POS,DEB,IT,,,,,,,,,,,,,
POS,XXXXXX,KULDEEP,WINE,CO,POS,DEBIT,,,,,,,,,,,,,
POS,XXXXXX,KULDEEP,WINES,POS,D,EBIT,,,,,,,,,,,,,
POS,XXXXXX,SHREE,BIKANER,SW,PO,S,DEBIT,,,,,,,,,,,,
INST,ALERT,CHG,INC,GST,APR,JUN,MIR,,Ref#,MIR,,,,,,,,,
IMPS,,DR,SATYARTHI,PATH,LAB,PVT,LTD,ICIC,XXXXXXXX,LAB,FEE,,Ref#,,,,,,
,,TPT,PAYMENT,,Ref#,A,,,,,,,,,,,,,
POS,XXXXXX,JANTA,SWEETS,POS,DE,BIT,,,,,,,,,,,,,
ATW,XXXXXX,SANAB,AMBALA,,,,,,,,,,,,,,,,
POS,XXXXXX,JAI,MATA,FILLING,PO,S,DEBIT,,,,,,,,,,,,
IMPS,,RAJESH,TANWAR,IBKL,XXX,XXXXXXXXX,LOAN,INSTALMENT,,Ref#,,,,,,,,,
POS,XXXXXX,RAM,AVTAR,FILLIN,PO,S,DEBIT,,,,,,,,,,,,
IMPS,,TEKCHAND,TANWAR,SBIN,X,XXXXXX,INSTALMENT,,Ref#,,,,,,,,,,
FUEL,SURCHG,,,,,,,,DT,,,,,,,,,,
NEFT,DR,SBIN,TAJENDER,SHARMA,NETB,ANK,,MUM,N,,Ref#,N,,,,,,,
,,TPT,ANIL,KHATANA,,Ref#,A,,,,,,,,,,,,
POS,XXXXXX,SAMRUDHI,ENTERPR,PO,S,DEBIT,,,,,,,,,,,,,
CRV,POS,,,,,,,,JAI,MATA,FILLIN,,,,,,,,
,,TPT,ARYA,,Ref#,A,,,,,,,,,,,,,
,,TPT,VICKY,,Ref#,A,,,,,,,,,,,,,
IMPS,,DR,SATYARTHI,PATH,LAB,PVT,LTD,ICIC,XXXXXXXX,SORRY,SIR,,Ref#,,,,,,
CHQ,DEP,,,TRANSFER,OW,,,,NOIDA,WBO,,,,,,,,,
POS,XXXXXX,VAAIBHAV,ENTERPR,PO,S,DEBIT,,,,,,,,,,,,,
IMPS,PP,TXN,CHRG,,MIR,,Ref#,MIR,,,,,,,,,,,
NEFT,DR,SBIN,TAJENDER,SHARMA,NETB,ANK,,MUM,N,,Ref#,N,,,,,,,
NEFT,DR,SYNB,MANJIT,KUMAR,NETBANK,,,MUM,N,,Ref#,N,,,,,,,
,,TPT,BACK,,Ref#,A,,,,,,,,,,,,,
IMPS,,SHILPA,..,HDFC,XXXXXX,XX,DR.RAJESH,,Ref#,,,,,,,,,,
IMPS,,TEJPAL,UTIB,XXXXXXXXXX,X,FEE,,Ref#,,,,,,,,,,,
,,TPT,PAYMENT,,Ref#,A,,,,,,,,,,,,,
NEFT,DR,SYNB,MANJIT,KUMAR,NETBANK,,,MUM,N,,Ref#,N,,,,,,,
IMPS,,DR,SATYARTHI,PATH,LAB,PVT,LTD,ICIC,XXXXXXXX,OCTOBER,PAYMEN,T,,Ref#,,,,,
.IMPS,PP,#,,,,,MIR,,Ref#,MIR,,,,,,,,,
FT,,,CR,,,,,,SHREE,KRISHNA,HOSPITAL,,,,,,,,
EAW,XXXXXX,AG,GURGAON,,Ref#,,,,,,,,,,,,,,
,,TPT,DUE,,Ref#,A,,,,,,,,,,,,,
CHQ,PAID,MICR,CTS,NO,RAHUL,SINGH,,,,,,,,,,,,,
NEFT,DR,SBINCARDS,RAJESH,TANWAR,SBI,CA,RD,NETBANK,,MUM,N,CARD,PA,YMENT,,Ref#,N,,
NEFT,DR,ICIC,DR,SATYARTHI,PATH,LA,B,PVT,LTD,NETBANK,,MUM,N,NOVEMBER,,,Ref#,N,
IMPS,,KAMAL,KANT,HDFC,XXXXXX,XXXXX,UDHAR,RETURN,,Ref#,,,,,,,,,
,,TPT,ITR,,Ref#,A,,,,,,,,,,,,,
IMPS,,ANUJ,MITTAL,ANDB,XXXXX,XXXXXX,ITR,PARTIAL,PAYMENT,,Ref#,,,,,,,,
REV,IMPS,,ANUJ,MITTAL,ANDB,X,XXXXXXXXXX,ITR,PARTIAL,PAYMENT,,Ref#,,,,,,,
NEFT,DR,KKBK,ANUJ,KUMAR,NETBANK,,MUM,N,ITR,PAYMENT,,Ref#,N,,,,,,
,CCARELIANCEGENERAL,,Ref#,,,,,,,,,,,,,,,,
POS,XXXXXX,OM,SAI,GENERAL,S,PO,S,DEBIT,,,,,,,,,,,
POS,XXXXXX,RAM,AVTAR,FILLIN,PO,S,DEBIT,,,,,,,,,,,,
LHDF,SBI,CARDS,,Ref#,,,,,,,,,,,,,,,
IMPS,,PRADEEP,KUMAR,SYNB,XXX,XXXXXXX,MEDICINE,CHARGES,,Ref#,,,,,,,,,
POS,XXXXXX,AMAZON,SELLER.,POS,DEBIT,,,,,,,,,,,,,,
,SEP,RAJESH,TANWAR,,Ref#,,,,,,,,,,,,,,
,,TPT,UDHAR,,Ref#,A,,,,,,,,,,,,,
NEFT,DR,SBIN,TEKCHAND,TANWAR,NETB,ANK,,MUM,N,QUANTO,PAYMENT,,Ref#,N,,,,,
CRV,POS,,,,,,,,DISCOUNT,ON,FUE,,,,,,,,
CHQ,PAID,MICR,CTS,NO,RAJESH,GUPTA,,,,,,,,,,,,,
,TPT,FEE,BRAIN,YOGA,,Ref#,,,,,,,,,,,,,
POS,XXXXXX,KHYBER,SERVICE,S,PO,S,DEBIT,,,,,,,,,,,,
NEFT,DR,SBIN,ARCCON,NETBANK,,MUM,N,REGISTRATION,FEE,O,,Ref#,N,,,,,,
CRV,POS,,,,,,,,KHYBER,SERVICE,,,,,,,,,
POS,XXXXXX,MCDONALD,S,POS,DEBI,T,,,,,,,,,,,,,
EAW,XXXXXX,DLBN,GURGAON,HA,,Ref#,,,,,,,,,,,,,
POS,XXXXXX,PTM,PAYTM,POS,DEBIT,,Ref#,,,,,,,,,,,,
,,TPT,MANJIT,,Ref#,A,,,,,,,,,,,,,
NEFT,DR,SYNB,MANJIT,KUMAR,NETBANK,,,MUM,N,INTEREST,,Ref#,N,,,,,,
IMPS,,DR,SATYARTHI,PATH,LAB,PVT,LTD,ICIC,XXXXXXXX,FEE,JANUARY,,,Ref#,,,,,
FT,,,CR,,,,,,SHREE,KRISHNA,HOSPITAL,,,,,,,,
IMPS,,SHAKUNTALA,TANWAR,HDFC,,XXXXXXXXXXX,UDHAR,,Ref#,,,,,,,,,,
EMI,,CHQ,S,,,,,,,,,,,,,,,,
IMPS,,DR,SATYARTHI,PATH,LAB,PVT,LTD,ICIC,XXXXXXXX,PAYMENT,FEBRUA,RY,,Ref#,,,,,
NEFT,DR,SYNB,MANJIT,KUMAR,NETBANK,,,MUM,N,INTEREST,,Ref#,N,,,,,,
CHQ,DEP,,,MICR,CLG,,,NOIDA,WBO,,,,,,,,,,
,,TPT,PAYMENT,FOR,MEDICIN,E,,Ref#,A,,,,,,,,,,
NEFT,DR,KKBK,ANUJ,KUMAR,NETBANK,,MUM,N,ADVANCE,TAX,PAYMEN,,Ref#,N,,,,,
,,TPT,FEE,,Ref#,A,,,,,,,,,,,,,
NEFT,DR,ICIC,DR,SATYARTHI,PATH,LA,B,PVT,LTD,NETBANK,,MUM,N,MARCH,PAYMENT,,Ref#,N,
IMPS,,SUNIL,TOMAR,HDFC,XXXXX,XXX,,,Ref#,,,,,,,,,,
,,TPT,TUV,,,Ref#,A,,,,,,,,,,,,
,,TPT,TUV,,Ref#,A,,,,,,,,,,,,,
CHQ,PAID,,,SECTOR,,,,G,,,,,,,,,,,
IB,CASH,WDL,CHGS,INCL,GST,,MIR,,Ref#,MIR,,,,,,,,,
CASH,DEP,KHANDSA,ROAD,,,,,,,,,,,,,,,,
WDL,TFR,,,AT,,ATM,SWITCH,,,,,,,,,,,,
T,CASH,DEP,USD,.,.,,,,,,,,,,,,,,
T,CASH,WDL,Service,,,,,,,,,,,,,,,,
WDL,TFR,EXCHANGE,ON,FOREIGN,AT,,HINDU,COLON,,,,,,,,,,,
ATM,WDL,ATM,CASH,,,KURL,,,,,,,,,,,,,
CAS,CASH,CHEQUE,AT,,ANTOP,HILL,,,,,,,,,,,,,
ATM,WDL,ATM,CASH,,,BAND,,,,,,,,,,,,,
ATM,WDL,ATM,CASH,,MUMBR,,,,,,,,,,,,,,
CSH,DEP,,CDM,,CDM,,STATEBANK,,,,,,,,,,,,
ATM,WDL,ATM,CASH,,,FIRE,,,,,,,,,,,,,
ATM,WDL,ATM,CASH,,,SBI,,,,,,,,,,,,,
DEP,TFR,NEFT,CITI,CIT,IN,PAYPAL,,AT,,PAYMENT,SYS,NEFT,CITI,CIT,IN,PAYPAL,,,
ATM,WDL,ATM,CASH,,SION,,,,,,,,,,,,,,
WDL,TFR,UPI,DR,,,AT,,ANTOP,HILL,,,,,,,,,,
DEP,TFR,UPI,CR,,,AT,,ANTOP,HILL,UPI,CR,,,,,,,,
CAS,CHQ,XFER,WD,WITHDRAWAL,TRANSFER,AT,,ANTOP,HILL,,,,,,,,,,
DEP,TFR,INB,IMPS,AT,,INTERNET,BA,,,,,,,,,,,,
CHQ,DEP,SRC,,,,,,,,,,,,,,,,,
DEBIT,ATMCard,AMC,,,,,,,,,,,,,,,,,
CSH,DEP,,CDM,,CDM,,STATEBANK,,,,,,,,,,,,
CHQ,TRFR,FROM,tr,frm,,AT,,MATUNGA,,MU,,,,,,,,,
DEBIT,SMS,CHARGES,MAR,MAY,,,,,,,,,,,,,,,
CAS,CHQ,XFER,WD,WITHDRAWAL,TRANSFER,TRF,TO,,AT,,ANTOP,HILL,,,,,,,
DEP,TFR,INB,IMPS,AT,,INTERNET,BA,,,,,,,,,,,,
POS,ATM,PURCH,OTHPG,,IR,,,,,,,,,,,,,,
AC,KEEPING,FEES,,,,,,,,,,,,,,,,,
MIN,BAL,CHGCAOT,,,,,,,,,,,,,,,,,
ATM,WDL,ATM,CASH,,SBI,I,,,,,,,,,,,,,
ATM,WDL,ATM,CASH,,,BOB,,,,,,,,,,,,,
ATM,WDL,ATM,CASH,,,SBIM,,,,,,,,,,,,,
BY,CASH,,,,,,,,,,,,,,,,,,
BY,CLG,,,,,,,,,,,,,,,,,,
ACH,Debit,,,INTELLECASH,MICROFIN,,,,,,,,,,,,,,
MBK,,,,,loan,,,,,,,,,,,,,,
AT,MUMBAI,,GHATKOPAR,,EAST,,,MUMBAI,,GHATKOPAR,,EAST,,,,,CASH,RECEIPT,
AT,MUMBAI,,NARIMAN,POINT,,KALI,MAHAKALI,MASALA,AND,,,,,,,,,,
AT,CPU,MUMBAI,,,SMS,CHARGES,DEC,QTR,,,,,,,,,,,
AT,MUMBAI,,GHATKOPAR,,EAST,,,,MGC,,,,,,,,,,
AT,CCU,,,MUMBAI,,BRAJ,TRADING,,,,,,,,,,,,
AT,CCU,,,MUMBAI,,DEV,INTERNATIONAL,,,,,,,,,,,,
AT,CPU,MUMBAI,,,SMS,Charges,,,,,,,,,,,,,
AT,MUMBAI,,GHATKOPAR,,EAST,,,MUMBAI,,GHATKOPAR,,EAST,,,,,CASH,RECEIPT,
AT,MUMBAI,,GHATKOPAR,,EAST,,,,NKG,,,,,,,,,,
AT,MUMBAI,,GHATKOPAR,,EAST,,,,MGC,,,,,,,,,,
AT,MUMBAI,,GHATKOPAR,,EAST,,,IMPS,,KALPESH,M,HDFC,Ban,XX,pranay,,,,
MOB,SELFFT,N,MAHESH,,,,,,,,,,,,,,,,
ECS,BAJAJ,AUTO,FINAN,LWKLR,,,,,,,,,,,,,,,
MOB,TPFT,SANDHYA,ROAD,LI,,,,,,,,,,,,,,,
IMPS,PA,,,OD,TN,,,,,,,,,,,,,,
MOB,TPFT,SANDHYA,ROAD,LI,,,,,,,,,,,,,,,
ATM,CASH,HOSKOTE,HOSKOTE,,,,,,,,,,,,,,,,
POS,MOHAN,AND,COMPANY,Bangalore,HQ,,,,,,,,,,,,,,
ATM,CASH,,MELINA,PETE,HOSKO,BANGALORE,RUR,,,,,,,,,,,,
Service,Tax,,.,,on,Charge,,,,,,,,,,,,,
Consolidated,Charges,for,A,c,,,,,,,,,,,,,,,
BPR_EMI_,,,,,,,,,,,,,,,,,,,
NEFT,,ANAND,MARBLE,,URGENT,,,,,,,,,,,,,,
INB,IFT,N,MAHESH,SELF,TRANSFER,,,,,,,,,,,,,,
BRN,BY,CASH,BY,CASH,,,,,,,,,,,,,,,
Cash,Dep,Chrg,on,Rs..,at,SOL,,,,,,,,,,,,,
ATM,CASH,AXIS,TWAW,,,BANGALORE,,,,,,,,,,,,,
BPR_EMI_,,,,,,,,,,,,,,,,,,,
SAK,CASH,DEP,SAK,,BY,CASHbharath,,,,,,,,,,,,,
Dr,Card,Charges,ANNUAL,XXXXXXXX,,,,,,,,,,,,,,,
GST,,,,on,Charge,,,,,,,,,,,,,,
CASH,AXIS,RVSL,,,,,,,,,,,,,,,,,
YOURSELF,DD,SUNDARAM,FINANCE,,,,,,,,,,,,,,,,
DD,Cancln,,,,,,,,,,,,,,,,,,
YOURSELF,DD,PAYABLE,,,,,,,,,,,,,,,,,
BRN,CLG,CHQ,PAID,TO,RADIANT,RETREADS,,,,,,,,,,,,,
TRF,S,ZAKEER,TRANSFER,,,,,,,,,,,,,,,,
RTGS,HSBCR,SUNDARAM,FINANCE,LIMIT,,,,,,,,,,,,,,,
TRF,,NARENDRA,M,C,,,,,,,,,,,,,,,
By,Clg,,COB,BANGALORE,,,,,,,,,,,,,,,
REFUND,BHARAT,PETROLEUM,CORPO\NH,,P,DT.,,,,,,,,,,,,,
BY,CLG,,ZN,MICROUT,SET,,,,,,,,,,,,,,
RAJESH,KUMAR,BISHNOI,,,,,,,,,,,,,,,,,
NEFT,GN,FLIPKART,INTERNET,PVT,hlp,,,,,,,,,,,,,,
IMPS,PA,,YESB,,,,,,,,,,,,,,,,
NACH,DR,,TP,ACH,UIA,,,,,,,,,,,,,,
ECS,BAJAJ,FINANCE,LI,BFR,,,,,,,,,,,,,,,
INB,NEFT,AXIR,MACHHINDRA,TU,Aaditya,co,,,,,,,,,,,,,
,Int,Recovery,,,,,,,,,,,,,,,,,
NEFT,FLIPKART,INTERNET,P,LTD,,,,,,,,,,,,,,,
IMPS,RRN,STCON,,,,,,,,,,,,,,,,,
MERV,,,M,MDUI,,,,,,,,,,,,,,,
BLF,,,,,,,,,,,,,,,,,,,
MEDR,WWW,OLACABS,,,,,,,,,,,,,,,,,
ECL,FINANCE,LTD,HF,,,,,,,,,,,,,,,,
MEDR,recharge_pay,,,,,,,,,,,,,,,,,,
MEDR,SHAH,LEKH,RA,,,,,,,,,,,,,,,,
MEDR,CHOKHI,DHANI,,,,,,,,,,,,,,,,,
BUPI,,,,,,,UPI,,,,,,,,,,,,
LEDG.FOL.CHGS,SGST,,,,,,,,,,,,,,,,,,
Int,,,,,,,,,,,,,,,,,,,
CWDR,,,CJP,,,,,,,,,,,,,,,,
IMPS,RRN,STCON,,,,,,,,,,,,,,,,,
Int,,,,,,,,,,,,,,,,,,,
NEFT,JASPER,INFOTECH,PL,,,BR,,,,,,,,,,,,,
IMPS,Rej,,,,,,,,,,,,,,,,,,
Charges,for,NEFT,BKIDN,,,,,,,,,,,,,,,,
GST,for,NEFT,BKIDN,,,,,,,,,,,,,,,,
IMPS,RRN,STCON,,,,,,,,,,,,,,,,,
