NW1,NW2,NW3,NW4,NW5,NW6,NW7,NW8,NW9,NW10,NW11,NW12,NW13,NW14,NW15,NW16,NW17,NW18,NW19,NW20
VINAY,COMPUTER,SYSTEMS,PV,,,,,,,,,,,,,,,,
MID,BALREC,,,,,,,,,,,,,,,,,,
GIB,,STAX,,,,,,,,,,,,,,,,,
CASH,PAID,SELF,CHQ,,,,,,,,,,,,,,,,
NEFT,ALLAH,Ms,CSP,COMPUTER,AND,PRINTER,,,ALLA,,,,,,,,,,
NEFT,,VIJAY,LAXMI,,,,,,,,,,,,,,,,
CAM,CASH,DEPOSIT,NEW,DELHI,NEHRUPLACE,,,,,,,,,,,,,,
ACH,LENDING,KART,FINANCE,LK,,,,,,,,,,,,,,,
MID,,CCARD,PMT,,,,,,,,,,,,,,,,
GETZ,IT,SOLUTIONS,,HDFC,,,,,,,,,,,,,,,
EPRIME,TRAVELS,CO,,KMB,,,,,,,,,,,,,,,
Mob,alrt,Chg,May,,,,,,,,,,,,,,,,
Penal,Chg,Jun,,,,,,,,,,,,,,,,,
UGST,,,,,,,,,,,,,,,,,,,
CGST,,,,,,,,,,,,,,,,,,,
NEFT,N,LALIT,V,SHARMA,,,HDFC,,,,,,,,,,,,
REJECT,,FUNDS,INSUFFICIENT,,,,,,,,,,,,,,,,
RTN,CHG,,FUNDS,INSUFFICIENT,..,,,,,,,,,,,,,,
CAM,CASH,DEPOSIT,NEW,DELHI,NEHRUPLACE,,,,,,,,,,,,,,
CHQ,PAID,MICR,CTS,CH,KOTAK,MAHINDRA,BANK,,,,,,,,,,,,
EMI,,CHQ,S,,,,,,,,,,,,,,,,
NEFT,CR,KKBK,REDIFF,COM,INDIA,LIM,ITED,AONE,TRADE,LINKS,KKBK,,Ref#,KKBK,,,,,
RTGS,CR,MAHB,MR.,KARAN,BHATIA,KUM,AR,A,ONE,TRADE,LINKS,,M,AHBR,,Ref#,MAHBR,,
FT,HDFCHFXSD,CMS_ECOLL_HERO,FINC,ORP,LTD,HDF,,,,,,,,,,,,,
HERO,FINCORP,L,,,Ref#,,,,,,,,,,,,,,
NEFT,DR,SYNB,VIJAY,TRADING,CORPOR,ATION,NETBANK,,MUM,N,,Ref#,N,,,,,,
CASH,DEP,FARIDABAD,HA,,,,,,,,,,,,,,,,
INST,ALERT,CHG,INC,GST,JUL,SEP,MIR,,Ref#,MIR,,,,,,,,,
AIRTEL,MOBILE,DELHI,HDFC,BILLPA,Y,ONLINEPAYMENT,,,Ref#,,,,,,,,,,
FT,,,CR,,,,,,GOGIA,METALS,,,,,,,,,
ADHOC,STMT,CHGS,INCL,GST,,MIR,,Ref#,MIR,,,,,,,,,,
.ACH,DEBIT,RETURN,CHARGES,,,MIR,,Ref#,MIR,,,,,,,,,,
JHDF,BILLDKVODAFONEINDIAL,,Ref#,,,,,,,,,,,,,,,,
FT,,,CR,,,,,,SUPER,KITCHEN,APPLIANCES,,,,,,,,
NEFT,CHGS,BRN,INCL,GST,,MIR,,Ref#,MIR,,,,,,,,,,
GST,BANK,REFERENCE,NO,,R,CI,N,NO,,HDFC,,Ref#,,,,,,,
POS,XXXXXX,M,S,USHA,SPEEDWA,PO,S,DEBIT,,,,,,,,,,,
ATW,XXXXXX,SANFD,FARIDABAD,,,,,,,,,,,,,,,,
IMPS,,ALLAHABAD,HDFC,,NO,REM,ARKS,,Ref#,,,,,,,,,,
CRV,POS,,,,,,,,HPCL,.,,CASH,,,,,,,
CHQ,DEP,MICR,CLG,NOIDA,,,MICR,,CLG,,,NO,,,,,,,
,,TPT,AONE,PAYTM,,Ref#,A,,,,,,,,,,,,
